#version: ${full.version}
#If you change this file, it will not be automatically updated after the next release.
#item,id,metadata
stone,1,0
sstone,1,0
smoothstone,1,0
rock,1,0
granite,1,1
gstone,1,1
polishedgranite,1,2
pgranite,1,2
pgstone,1,2
polishedgstone,1,2
diorite,1,3
dstone,1,3
polisheddiorite,1,4
pdiorite,1,4
pdstone,1,4
polisheddstone,1,4
andesite,1,5
astone,1,5
polishedandesite,1,6
pandesite,1,6
pastone,1,6
grass,2,0
greendirt,2,0
greenearth,2,0
greenland,2,0
dirt,3,0
earth,3,0
land,3,0
cdirt,3,1
grasslessdirt,3,1
grasslessearth,3,1
grasslessland,3,1
coarsedirt,3,1
coarseland,3,1
coarseearth,3,1
podzol,3,2
cobblestone,4,0
cstone,4,0
cobble,4,0
wood,5,0
plank,5,0
woodenplank,5,0
woodplank,5,0
wplank,5,0
plankwooden,5,0
plankwood,5,0
plankw,5,0
oakplank,5,0
oakwoodenplank,5,0
oakwoodplank,5,0
oakwplank,5,0
oakplankwooden,5,0
oakplankwood,5,0
oakplankw,5,0
oplank,5,0
owoodenplank,5,0
owoodplank,5,0
owplank,5,0
oplankwooden,5,0
oplankwood,5,0
oplankw,5,0
pineplank,5,1
pinewoodenplank,5,1
pinewoodplank,5,1
pinewplank,5,1
pineplankwooden,5,1
pineplankwood,5,1
pineplankw,5,1
pplank,5,1
pwoodenplank,5,1
pwoodplank,5,1
pwplank,5,1
pplankwooden,5,1
pplankwood,5,1
pplankw,5,1
darkplank,5,1
darkwoodenplank,5,1
darkwoodplank,5,1
darkwplank,5,1
darkplankwooden,5,1
darkplankwood,5,1
darkplankw,5,1
dplank,5,1
dwoodenplank,5,1
dwoodplank,5,1
dwplank,5,1
dplankwooden,5,1
dplankwood,5,1
dplankw,5,1
spruceplank,5,1
sprucewoodenplank,5,1
sprucewoodplank,5,1
sprucewplank,5,1
spruceplankwooden,5,1
spruceplankwood,5,1
spruceplankw,5,1
splank,5,1
swoodenplank,5,1
swoodplank,5,1
swplank,5,1
splankwooden,5,1
splankwood,5,1
splankw,5,1
birchplank,5,2
birchwoodenplank,5,2
birchwoodplank,5,2
birchwplank,5,2
birchplankwooden,5,2
birchplankwood,5,2
birchplankw,5,2
bplank,5,2
bwoodenplank,5,2
bwoodplank,5,2
bwplank,5,2
bplankwooden,5,2
bplankwood,5,2
bplankw,5,2
lightplank,5,2
lightwoodenplank,5,2
lightwoodplank,5,2
lightwplank,5,2
lightplankwooden,5,2
lightplankwood,5,2
lightplankw,5,2
lplank,5,2
lwoodenplank,5,2
lwoodplank,5,2
lwplank,5,2
lplankwooden,5,2
lplankwood,5,2
lplankw,5,2
whiteplank,5,2
whitewoodenplank,5,2
whitewoodplank,5,2
whitewplank,5,2
whiteplankwooden,5,2
whiteplankwood,5,2
whiteplankw,5,2
wwoodenplank,5,2
wwoodplank,5,2
wwplank,5,2
wplankwooden,5,2
wplankwood,5,2
wplankw,5,2
jungleplank,5,3
junglewoodenplank,5,3
junglewoodplank,5,3
junglewplank,5,3
jungleplankwooden,5,3
jungleplankwood,5,3
jungleplankw,5,3
jplank,5,3
jwoodenplank,5,3
jwoodplank,5,3
jwplank,5,3
jplankwooden,5,3
jplankwood,5,3
jplankw,5,3
forestplank,5,3
forestwoodenplank,5,3
forestwoodplank,5,3
forestwplank,5,3
forestplankwooden,5,3
forestplankwood,5,3
forestplankw,5,3
fplank,5,3
fwoodenplank,5,3
fwoodplank,5,3
fwplank,5,3
fplankwooden,5,3
fplankwood,5,3
fplankw,5,3
acaciaplank,5,4
acaciawoodenplank,5,4
acaciawoodplank,5,4
acaciawplank,5,4
acaciaplankwooden,5,4
acaciaplankwood,5,4
acaciaplankw,5,4
aplank,5,4
awoodenplank,5,4
awoodplank,5,4
awplank,5,4
aplankwooden,5,4
aplankwood,5,4
aplankw,5,4
darkoakplank,5,5
darkoakwoodenplank,5,5
darkoakwoodplank,5,5
darkoakwplank,5,5
darkoakplankwooden,5,5
darkoakplankwood,5,5
darkoakplankw,5,5
doakplank,5,5
doakwoodenplank,5,5
doakwoodplank,5,5
doakwplank,5,5
doakplankwooden,5,5
doakplankwood,5,5
doakplankw,5,5
doplank,5,5
dowoodenplank,5,5
dowoodplank,5,5
dowplank,5,5
doplankwooden,5,5
doplankwood,5,5
doplankw,5,5
sapling,6,0
treesapling,6,0
logsapling,6,0
trunksapling,6,0
woodsapling,6,0
oaktreesapling,6,0
oaklogsapling,6,0
oaktrunksapling,6,0
oakwoodsapling,6,0
osapling,6,0
otreesapling,6,0
ologsapling,6,0
otrunksapling,6,0
owoodsapling,6,0
darksapling,6,1
darktreesapling,6,1
darklogsapling,6,1
darktrunksapling,6,1
darkwoodsapling,6,1
sprucesapling,6,1
sprucetreesapling,6,1
sprucelogsapling,6,1
sprucetrunksapling,6,1
sprucewoodsapling,6,1
pinesapling,6,1
pinetreesapling,6,1
pinelogsapling,6,1
pinetrunksapling,6,1
pinewoodsapling,6,1
dsapling,6,1
dtreesapling,6,1
dlogsapling,6,1
dtrunksapling,6,1
dwoodsapling,6,1
ssapling,6,1
streesapling,6,1
slogsapling,6,1
strunksapling,6,1
swoodsapling,6,1
psapling,6,1
ptreesapling,6,1
plogsapling,6,1
ptrunksapling,6,1
pwoodsapling,6,1
birchsapling,6,2
birchtreesapling,6,2
birchlogsapling,6,2
birchtrunksapling,6,2
birchwoodsapling,6,2
lightsapling,6,2
lighttreesapling,6,2
lightlogsapling,6,2
lighttrunksapling,6,2
lightwoodsapling,6,2
whitesapling,6,2
whitetreesapling,6,2
whitelogsapling,6,2
whitetrunksapling,6,2
whitewoodsapling,6,2
bsapling,6,2
btreesapling,6,2
blogsapling,6,2
btrunksapling,6,2
bwoodsapling,6,2
lsapling,6,2
ltreesapling,6,2
llogsapling,6,2
ltrunksapling,6,2
lwoodsapling,6,2
wsapling,6,2
wtreesapling,6,2
wlogsapling,6,2
wtrunksapling,6,2
wwoodsapling,6,2
junglesapling,6,3
jungletreesapling,6,3
junglelogsapling,6,3
jungletrunksapling,6,3
junglewoodsapling,6,3
forestsapling,6,3
foresttreesapling,6,3
forestlogsapling,6,3
foresttrunksapling,6,3
forestwoodsapling,6,3
jsapling,6,3
jtreesapling,6,3
jlogsapling,6,3
jtrunksapling,6,3
jwoodsapling,6,3
fsapling,6,3
ftreesapling,6,3
flogsapling,6,3
ftrunksapling,6,3
fwoodsapling,6,3
acaciasapling,6,4
acaciatreesapling,6,4
acacialogsapling,6,4
acaciatrunksapling,6,4
acaciawoodsapling,6,4
asapling,6,4
atreesapling,6,4
alogsapling,6,4
atrunksapling,6,4
awoodsapling,6,4
darkoaksapling,6,5
darkoaktreesapling,6,5
darkoaklogsapling,6,5
darkoaktrunksapling,6,5
darkoakwoodsapling,6,5
doaksapling,6,5
doaktreesapling,6,5
doaklogsapling,6,5
doaktrunksapling,6,5
dosapling,6,5
dowoodsapling,6,5
dotreesapling,6,5
dologsapling,6,5
dotrunksapling,6,5
bedrock,7,0
oprock,7,0
opblock,7,0
adminblock,7,0
adminrock,7,0
adminium,7,0
water,8,0
stationarywater,9,0
stillwater,9,0
swater,9,0
lava,10,0
stationarylava,11,0
stilllava,11,0
slava,11,0
sand,12,0
redsand,12,1
rsand,12,1
gravel,13,0
goldore,14,0
oregold,14,0
gore,14,0
oreg,14,0
ogold,14,0
goldo,14,0
ironore,15,0
oreiron,15,0
irono,15,0
oiron,15,0
steelore,15,0
oresteel,15,0
steelo,15,0
osteel,15,0
iore,15,0
orei,15,0
sore,15,0
ores,15,0
coalore,16,0
orecoal,16,0
coalo,16,0
ocoal,16,0
core,16,0
tree,17,0
log,17,0
trunk,17,0
oak,17,0
oaktree,17,0
oaklog,17,0
oaktrunk,17,0
oakwood,17,0
otree,17,0
olog,17,0
otrunk,17,0
owood,17,0
pine,17,1
pinetree,17,1
pinelog,17,1
pinetrunk,17,1
pinewood,17,1
darktree,17,1
darklog,17,1
darktrunk,17,1
darkwood,17,1
spruce,17,1
sprucetree,17,1
sprucelog,17,1
sprucetrunk,17,1
sprucewood,17,1
dtree,17,1
dlog,17,1
dtrunk,17,1
dwood,17,1
stree,17,1
slog,17,1
strunk,17,1
swood,17,1
ptree,17,1
plog,17,1
ptrunk,17,1
pwood,17,1
birch,17,2
birchtree,17,2
birchlog,17,2
birchtrunk,17,2
birchwood,17,2
whitetree,17,2
whitelog,17,2
whitetrunk,17,2
whitewood,17,2
lighttree,17,2
lightlog,17,2
lighttrunk,17,2
lightwood,17,2
btree,17,2
blog,17,2
btrunk,17,2
bwood,17,2
wtree,17,2
wlog,17,2
wtrunk,17,2
wwood,17,2
ltree,17,2
llog,17,2
ltrunk,17,2
lwood,17,2
jungletree,17,3
junglelog,17,3
jungletrunk,17,3
junglewood,17,3
jungle,17,3
forest,17,3
foresttree,17,3
forestlog,17,3
foresttrunk,17,3
forestwood,17,3
jtree,17,3
jlog,17,3
jtrunk,17,3
jwood,17,3
ftree,17,3
flog,17,3
ftrunk,17,3
fwood,17,3
leaves,18,0
leaf,18,0
treeleaves,18,0
logleaves,18,0
